From state 0:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 1:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 2:    0,00 -49,98   0,00 -48,44   0,00  -1,00   0,00  -1,00 
From state 3:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 4:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 5:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 6:    0,00 -46,88   0,00 -49,61   0,00  -1,00   0,00   0,00 
From state 7:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 8:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 9:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 10:    0,00 -46,88   0,00 -48,44   0,00   0,00   0,00  -0,88 
From state 11:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 12:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 13:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 14:    0,00 -37,50   0,00 -25,00   0,00   0,00   0,00   0,00 
From state 15:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 16:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 17:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 18:    0,00 -25,00   0,00   0,00   0,00  -0,88   0,00  -0,50 
From state 19:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 20:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 21:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 22:    0,00 -37,50   0,00   0,00   0,00   0,00   0,00   0,00 
From state 23:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 24:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 25:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 26:    0,00 -25,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 27:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 28:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 29:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 30:    0,00 -25,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 31:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 32:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 33:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 34:    0,00   0,00   0,00   0,00   0,00  -0,50   0,00  -0,50 
From state 35:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 36:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 37:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 38:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
